gvkey,state,coal_mw
007977,Minnesota,1917.53
007977,Colorado,1845.96
007977,Texas,1136.00
001440,West Virginia,5913.05
001440,Indiana,2603.80
001440,Arkansas,725.40
001440,Kansas,348.70
001440,Ohio,1086.00
001440,Oklahoma,473.00
001440,Texas,1116.00
157373,Illinois,3196.00
157373,Texas,4775.00
157373,Ohio,1114.20
009850,Alabama,4447.10
009850,Mississippi,763.70
009850,Georgia,4316.54
004093,North Carolina,8980.50
004093,Indiana,4760.73
004093,Florida,1478.40
004093,Kentucky,669.30
005914,Michigan,259.47
003897,Michigan,3977.10
025792,Florida,486.00
007366,Louisiana,690.20
007366,Arkansas,1889.10
008199,South Dakota,245.78
008199,North Dakota,157.50
008001,South Dakota,106.70
008001,Montana,233.40
008001,North Dakota,45.00
008001,Iowa,60.54
007437,Minnesota,810.90
043737,Maryland,1370.00
043737,Pennsylvania,2307.50
156676,Maryland,1370.00
156676,Pennsylvania,2307.50
013948,Michigan,1481.64
004029,Virginia,1092.00
004029,South Carolina,1821.80
004029,West Virginia,1662.40
127675,Virginia,424.00
012428,Montana,311.20
011304,Montana,233.40
008455,Montana,155.60
008455,Kentucky,5101.60
011554,Wisconsin,1008.62
011554,Iowa,740.83
011550,Wisconsin,2882.77
006932,Wisconsin,327.70
006397,Kentucky,1952.50
006397,Illinois,137.75
010447,Tennessee,5555.20
010447,Kentucky,1575.00
004517,Mississippi,250.00
004517,Georgia,222.75
005742,Indiana,530.40
008099,West Virginia,3204.00
001075,New Mexico,1030.81
014390,New Mexico,114.53
014390,Arizona,849.60
006338,Missouri,1868.36
006338,Kansas,4255.00
066624,Kansas,348.70
201913,Kansas,348.70
011188,Kansas,348.70
100488,Kansas,348.70
100302,Kansas,348.70
100690,Kansas,348.70
030874,Kansas,348.70
102311,Kansas,348.70
100688,Kansas,348.70
260071,Kansas,348.70
205365,Kansas,348.70
227480,Kansas,348.70
271031,Kansas,348.70
271031,Texas,201.60
155277,Kansas,348.70
100439,Kansas,348.70
009902,Kansas,348.70
100450,Kansas,348.70
100365,Kansas,348.70
101769,Kansas,348.70
013353,Kansas,348.70
005870,Wyoming,386.95
010860,Missouri,3488.80
135990,Texas,4547.40
135990,Illinois,1785.60
007974,Indiana,1387.00
008113,Oklahoma,2060.00
144646,Wyoming,413.88
163429,Texas,321.55
326162,Pennsylvania,585.00
227226,Pennsylvania,585.00
156820,Minnesota,384.87
007365,Pennsylvania,99.20
003439,Michigan,35.00
