horizon_months,tercile,fuel_mean,fuel_nw_se,fuel_t,n_events,diff_T3_T1,welch_t_T3_T1
1,T1,+0.407824,0.463440,+0.8800,80,NA,NA
1,T2,-3.544293,1.429383,-2.4796,89,NA,NA
1,T3,-1.615580,2.028298,-0.7965,81,-2.023404,-0.9725
3,T1,+2.044163,0.732124,+2.7921,80,NA,NA
3,T2,-8.605441,2.472413,-3.4806,89,NA,NA
3,T3,-7.859971,2.288232,-3.4350,81,-9.904133,-4.1224
6,T1,-1.652467,0.938734,-1.7603,80,NA,NA
6,T2,-6.989779,1.736871,-4.0244,89,NA,NA
6,T3,-3.919274,4.139680,-0.9468,81,-2.266808,-0.5340
12,T1,-1.863935,1.707770,-1.0914,80,NA,NA
12,T2,-21.340169,4.331288,-4.9270,89,NA,NA
12,T3,+1.164147,8.704433,+0.1337,81,+3.028082,+0.3414
24,T1,-0.009088,1.519475,-0.0060,80,NA,NA
24,T2,-27.918594,6.576348,-4.2453,89,NA,NA
24,T3,+12.911205,13.407521,+0.9630,81,+12.920293,+0.9575
